state,county,pclon00,pclat00
01,001,-86.501832,32.500323
01,003,-87.76054,30.565383
01,005,-85.306746,31.847869
01,007,-87.127019,33.025947
01,009,-86.582617,33.962601
01,011,-85.702783,32.114144
01,013,-86.656062,31.771916
01,015,-85.822048,33.722127
01,017,-85.265864,32.86135
01,019,-85.6271,34.179934
01,021,-86.690393,32.873767
01,023,-88.261777,32.022546
01,025,-87.814619,31.688185
01,027,-85.818841,33.271389
01,029,-85.500911,33.623107
01,031,-85.915827,31.356766
01,033,-87.687401,34.72299
01,035,-86.995692,31.417059
01,037,-86.151949,32.978756
01,039,-86.411489,31.283897
01,041,-86.298379,31.741562
01,043,-86.831714,34.162156
01,045,-85.641948,31.387656
01,047,-87.034511,32.405732
01,049,-85.810181,34.459779
01,051,-86.218197,32.564913
01,053,-87.281965,31.086381
01,055,-86.024439,34.015075
01,057,-87.771412,33.724161
01,059,-87.799829,34.457978
01,061,-85.794903,31.094166
01,063,-87.927239,32.829757
01,065,-87.629645,32.772358
01,067,-85.265593,31.490361
01,069,-85.386877,31.205398
01,071,-85.940311,34.733704
01,073,-86.817556,33.520819
01,075,-88.10886,33.764883
01,077,-87.608504,34.866759
01,079,-87.27454,34.547817
01,081,-85.352521,32.59172
01,083,-86.954084,34.821982
01,085,-86.620978,32.162781
01,087,-85.709518,32.423496
01,089,-86.605877,34.743145
01,091,-87.803144,32.339825
01,093,-87.874008,34.112081
01,095,-86.29678,34.315395
01,097,-88.159562,30.686153
01,099,-87.358921,31.511729
01,101,-86.258293,32.3468
01,103,-86.929311,34.514917
01,105,-87.368499,32.582916
01,107,-88.075527,33.288047
01,109,-85.942867,31.784171
01,111,-85.419539,33.252236
01,113,-85.069769,32.421223
01,115,-86.353223,33.664876
01,117,-86.737308,33.289711
01,119,-88.234797,32.566853
01,121,-86.1736,33.365011
01,123,-85.862292,32.857195
01,125,-87.524276,33.212939
01,127,-87.251294,33.830473
01,129,-88.183818,31.41443
01,131,-87.376939,32.003418
01,133,-87.423583,34.165855
02,013,-162.61706,54.946483
02,016,-167.8805,54.116584
02,020,-149.79667,61.192041
02,050,-162.11107,60.700215
02,060,-156.82216,58.73693
02,068,-149.04636,63.916042
02,070,-158.70922,59.129706
02,090,-147.60464,64.824277
02,100,-135.54531,59.261152
02,105,NA,NA
02,110,-134.52972,58.357237
02,122,-151.05228,60.286142
02,130,-131.67945,55.36929
02,150,-152.47475,57.777258
02,164,-156.59134,58.399128
02,170,-149.40992,61.623731
02,180,-165.26487,64.456222
02,185,-157.26821,70.636549
02,188,-161.63887,66.918581
02,195,NA,NA
02,198,NA,NA
02,201,-132.60169,55.469758
02,220,-135.33673,57.0631
02,230,NA,NA
02,232,-135.33448,58.415975
02,240,-144.47486,63.806757
02,261,-145.8585,61.263245
02,270,-164.28867,62.111974
02,275,NA,NA
02,280,-132.85609,56.683148
02,282,-140.00929,59.615859
02,290,-152.76546,64.96626
04,001,-109.41285,35.645804
04,003,-110.04748,31.610327
04,005,-111.57459,35.547513
04,007,-110.99565,33.799616
04,009,-109.81607,32.874357
04,011,-109.24208,32.960547
04,012,-114.18868,33.945654
04,013,-112.02229,33.495976
04,015,-114.26707,35.039737
